product_name,category,brand,product_id,standard_cost,create_date,update_date
512 GB M.2,SSD,Samsung,1,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3500 ,CPU,Intel,2,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
2GB Graphic Card,Graphic Card,Nvidia,3,7000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
16 GB DDR4 RAM,RAM,Hynix,4,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Standard ATX motherboard,MotherBoard,Gigabyte,5,7650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Compact with 1 Fan,Cabinet,Asus,6,1150.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
USB Backlight Keyboard,Keyboard,Dell,7,850.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Ergonomic Mouse,Mouse,Samsung,8,650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
"15"" LCD Dsipaly",Monitor,Dell,9,7500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
2 TB HDD,HDD,Seagate,10,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
1 TB SSD,SSD,Samsung,11,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Intel i5 12th gen.,CPU,Intel,12,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
4 GB DDR4 Ram,RAM,Hynix,13,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Micro ATX motherboard,MotherBoard,MSI,14,6540.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Gaming Box Cabinet,Cabinet,Asus,15,2680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
"17"" LCD Display",Monitor,Samsung,16,8250.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
8 GB DDR4 RAM,RAM,Samsung,17,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
"26"" LCD Display",Monitor,Acer,18,12550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
I7 - intel 12th Generation,CPU,Intel,19,14500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
USB Keyboard,Keyboard,Dell,20,800.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Wireless Mouse,Mouse,Samsung,21,600.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
"21"" LCD Display",Monitor,Dell,22,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
2 TB HDD,HDD,Western Digital,23,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
