order_number,order_date,customer_id,state_id,product_id,status_id,employee_id,unit_cost,unit_sales,quantity,total_cost,total_sales,profit,profit_margin
139374.0,2020-01-11,1,196a575b-c420-445c-9b3a-acb48965fdde,1,1,1,6500.0,8450.0,1.0,6500.0,8450.0,1950.0,0.23076923076923078
139375.0,2020-01-11,2,196a575b-c420-445c-9b3a-acb48965fdde,2,1,2,8500.0,11050.0,3.0,25500.0,33150.0,7650.0,0.23076923076923078
139376.0,2020-01-11,3,c98d6e57-6860-4e34-80c0-bb1af9619a56,3,1,3,7000.0,9100.0,2.0,14000.0,18200.0,4200.0,0.23076923076923078
139377.0,2020-01-11,4,b6d78066-c073-411b-93d6-8bea001ca6cd,125,1,4,6550.0,8515.0,3.0,19650.0,25545.0,5895.0,0.23076923076923078
139378.0,2020-01-11,5,313dd403-3837-4773-9d3b-91b30cc84b2b,65,2,5,7650.0,9945.0,4.0,30600.0,39780.0,9180.0,0.23076923076923078
139379.0,2020-01-11,6,313dd403-3837-4773-9d3b-91b30cc84b2b,6,2,6,1150.0,1495.0,2.0,2300.0,2990.0,690.0,0.23076923076923078
139380.0,2020-01-11,7,313dd403-3837-4773-9d3b-91b30cc84b2b,7,2,1,850.0,1105.0,3.0,2550.0,3315.0,765.0,0.23076923076923078
139381.0,2020-01-12,8,313dd403-3837-4773-9d3b-91b30cc84b2b,8,2,1,650.0,845.0,2.0,1300.0,1690.0,390.0,0.23076923076923078
139382.0,2020-01-13,9,313dd403-3837-4773-9d3b-91b30cc84b2b,9,2,2,7500.0,9750.0,1.0,7500.0,9750.0,2250.0,0.23076923076923078
139383.0,2020-01-14,10,5081dafb-1fd3-44ce-95de-dd45c2691178,23,2,3,10000.0,13000.0,3.0,30000.0,39000.0,9000.0,0.23076923076923078
139384.0,2020-01-15,11,fc6e3645-3660-446c-b6e7-89fb8313d89d,11,2,5,10500.0,13650.0,1.0,10500.0,13650.0,3150.0,0.23076923076923078
139385.0,2020-01-16,12,d4c2eec2-8be5-4c28-b278-057033d06736,12,2,6,8500.0,11050.0,4.0,34000.0,44200.0,10200.0,0.23076923076923078
139386.0,2020-01-17,13,73523a4b-d2ed-476f-b802-c9b1638de58d,3,2,1,7000.0,9100.0,2.0,14000.0,18200.0,4200.0,0.23076923076923078
139387.0,2020-01-18,14,73523a4b-d2ed-476f-b802-c9b1638de58d,13,3,1,1680.0,2184.0,1.0,1680.0,2184.0,504.0,0.23076923076923078
139388.0,2020-01-19,15,73523a4b-d2ed-476f-b802-c9b1638de58d,69,3,2,6540.0,8502.0,2.0,13080.0,17004.0,3924.0,0.23076923076923078
139389.0,2020-01-20,16,f416a7b3-0ece-490b-9a91-fce0f3cc61b5,15,3,3,2680.0,3484.0,1.0,2680.0,3484.0,804.0,0.23076923076923078
139390.0,2020-01-21,17,1efc654c-5de2-4eba-8541-894a54948924,16,3,4,8250.0,10725.0,2.0,16500.0,21450.0,4950.0,0.23076923076923078
139391.0,2020-01-22,18,9181f912-f4f4-4ce1-8513-38c547f8cf5a,17,3,5,2650.0,3445.0,4.0,10600.0,13780.0,3180.0,0.23076923076923078
139392.0,2020-01-22,19,6b1a0461-c191-4fed-8dfc-2b72a8508e92,18,3,6,12550.0,16315.0,2.0,25100.0,32630.0,7530.0,0.23076923076923078
139393.0,2020-01-22,20,33b548a0-b2fd-4b28-9051-32f388cc7c44,19,3,1,14500.0,18850.0,2.0,29000.0,37700.0,8700.0,0.23076923076923078
139394.0,2020-01-22,21,6232566a-7ce6-497e-8154-9008cf9c8d39,20,3,2,800.0,1040.0,1.0,800.0,1040.0,240.0,0.23076923076923078
